"Library Name" "Address" "City" "ZIP Code" "State" "Latitude" "Longitude"
"105" "Plummer Public" "Plummer" "800 D St" 83851 "ID" -116.8854652 47.3341565
"106" "Marshall Public" "Pocatello" "113 S Garfield" 83204 "ID" -112.4525546 42.860321
"107" "Community Library Network - Post Falls" "Post Falls" "821 N Spokane" 83854 "ID" -116.9490237 47.7164352
"108" "Potlatch Public Library" "Potlatch" "1010 Onaway Rd" 83855 "ID" -116.9009488 46.9278839
"109" "Prairie District" "Prairie" "71 Smith Creek Rd" 83647 "ID" -115.5736655 43.5020912
"110" "Larsen-Sant-Franklin District" "Preston" "109 S 1st E" 83263 "ID" -111.8739507 42.0939227
"111" "Priest Lake District" "Priest Lake" "28769 Hwy 57" 83856 "ID" -116.9339845 48.5212625
"112" "Community Library Network - Rathdrum" "Rathdrum" "16780 W Hwy 41" NA "ID" -83.4930369 38.8388829
"113" "Madison District" "Rexburg" "73 N Center St" 83440 "ID" -111.7845276 43.8279143
"114" "Richfield District" "Richfield" "205 S Main" 83349 "ID" -114.15383 43.0489468
"115" "Rigby Public" "Rigby" "110 N State St" 83442 "ID" -111.9146103 43.6725317
"116" "Salmon River Public" "Riggins" "126 N Main St" 83549 "ID" -116.3153316 45.4213839
"117" "Ririe Public" "Ririe" "464 Main St" 83443 "ID" -111.77325 43.631187
"118" "Roberts Public" "Roberts" "650 N 2870 E" 83444 "ID" -112.128469 43.719914
"119" "Rockland School-Community" "Rockland" "321 E Center" 83271 "ID" -112.8795302 42.5740228
"120" "Demary Memorial" "Rupert" "417 7th St" 83350 "ID" -113.6707488 42.6185384
"121" "Lemhi County District" "Salmon" "204 Main St" 83467 "ID" -113.8970072 45.1768373
"122" "East Bonner County District" "Sandpoint" "1407 Cedar St" 83864 "ID" -116.5685389 48.2752965
"123" "East Bonner County Library District Sandpoint Branch Library" "Sandpoint" "1407 Cedar Street" 83864 "ID" -116.5685389 48.2752965
"124" "North Bingham County District" "Shelley" "197 W Locust St" 83274 "ID" -112.1244144 43.3783196
"125" "Shoshone Public" "Shoshone" "211 S Rail St W" 83352 "ID" -114.4084947 42.9359984
"126" "Soda Springs Public" "Soda Springs" "149 S Main St" 83276 "ID" -111.6036944 42.6557629
"127" "Community Library Network - Spirit Lake" "Spirit Lake" "32575 N. 5th Ave" 83869 "ID" -116.8685908 47.9591662
"128" "St Maries Public" "St Maries" "822 College Ave" 83861 "ID" -116.5679959 47.3152771
"129" "Fremont County District - St Anthony" "St. Anthony" "110 W Main" NA "ID" -92.937644 35.2420557
"130" "Stanley District" "Stanley" "33 Ace Of Diamonds St" 83278 "ID" -114.9391717 44.2162404
"131" "Star Branch Library" "Star" "10706 W. State St Suite D" NA "ID" -81.1620517 40.9020379
"132" "Sugar Salem School-Community" "Sugar City" "1 Digger Dr" 83448 "ID" -111.739495 43.87101
"133" "Benewah District" "Tensed" "4345 Fox Rd" 83870 "ID" -116.812142 47.153829
"134" "Heart Of The Valley Public Library" "Terreton" "1252 E 1500 N" NA "ID" -112.444037 43.839288
"135" "Troy Public Library" "Troy" "402 S Main St" 83871 "ID" -116.7702372 46.73748
"136" "Twin Falls Public" "Twin Falls" "201 Fourth Ave E" 83301 "ID" -114.4652702 42.5571982
"137" "Valley Of The Tetons District" "Victor" "56 N Main" 83455 "ID" -111.110912 43.6038659
"138" "Wallace Public" "Wallace" "415 River St" 83873 "ID" -115.925825 47.474041
"139" "Clearwater District" "Weippe" "204 Wood St" 83553 "ID" -115.9429922 46.3758631
"140" "Weippe Public Library" "Weippe" "204 Wood Street" NA "ID" -71.2628361 42.455153
"141" "Weiser Public" "Weiser" "628 E 1st St" 83672 "ID" -116.9677615 44.2475086
"142" "Sherburn Smith Memorial" "Wendell" "375 1st Ave E" 83355 "ID" -114.6989658 42.7764019
"143" "Wilder District" "Wilder" "207 A Ave E" 83676 "ID" -116.9053571 43.6770184
"144" "Prairie-River District - Winchester" "Winchester" "413 1-2 Nez Perce" NA "ID" -116.2435093 46.2371189
