"Library Name" "Address" "City" "State" "Latitude" "Longitude"
"Rocky Bluff Branch" "6750 US Highway 301 North, " "Ellenton" "FL" -77.8531731 35.8440033
"Elsie Quirk Library" "100 W. Dearborn Street, " "Englewood" "FL" -90.0609539 40.2941411
"Englewood Charlotte Public Library" "3450 Mccall Road, " "Englewood" "FL" -88.2950582 35.6758284
"South County Regional Library" "21100 Three Oaks Parkway, 33928" "Estero" "FL" -81.7893314 26.4335447
"Eustis Memorial Library" "120 N. Center St., 32726" "Eustis" "FL" -81.6822492 28.8541138
"Everglades City Branch Library" ", " "Everglades City" "FL" NA NA
"Fernandina Beach Library" "25 North 4th Street, " "Fernandina Beach" "FL" -82.9963981 39.9633811
"Nassau County Public Library System" "25 N. 4th St., 32034" "Fernandina Beach" "FL" -81.4622476 30.6720336
"Clay County Public Library System" "1895 Towncenter Blvd., 32006" "Fleming Island" "FL" -81.7105634 30.0928513
"Floral City Library" "8240 East Orange Ave., " "Floral City" "FL" -82.2974955 28.7501804
"African-American Research Library" "2650 Sistruck Blvd, " "Fort Lauderdale" "FL" -80.1775992 26.1283923
"Alvin Sherman Library, Research, And Information Technology Center At Nova Southeastern University" "3100 Ray Ferrero, Jr. Blvd., " "Fort Lauderdale" "FL" NA NA
"Broward County Libraries Division" "100 S. Andrews Ave, 33301" "Fort Lauderdale" "FL" -80.1428979 26.120946
"Broward County Main Library" "100 S. Andrews Ave, " "Fort Lauderdale" "FL" -73.2003842 44.4355351
"Fort Lauderdale Branch" "1300 East Sunrise Blvd., " "Fort Lauderdale" "FL" -80.1306007 26.1371224
"Galt Ocean Mile Reading Center" "3403 Galt Ocean Dr., " "Fort Lauderdale" "FL" -80.0994651 26.1701998
"Imperial Point Branch" "5985 North Federal Highway, " "Fort Lauderdale" "FL" -80.1099951 26.2020823
"Riverland Branch" "2710 West Davie Blvd., " "Fort Lauderdale" "FL" -80.1780123 26.1050835
"Talking Book Library" "100 S Andrews Ave., " "Fort Lauderdale" "FL" -73.2003842 44.4355351
"Tyrone Bryant Branch" "2230 Nw 21st Avenue, " "Fort Lauderdale" "FL" -80.1517125 26.2581454
"Fort Meade Public Library" "75 East Broadway, " "Fort Meade" "FL" -73.994112 40.7136493
"Dunbar Jupiter Hammon Library" "3095 Blount Street, 33916" "Fort Myers" "FL" -81.8510863 26.6431872
"Fort Meyers Regional Library" "2450 First Street, 33901" "Fort Myers" "FL" -81.8670408 26.6454353
"Lakes Regional Library" "15290 Bass Road, 33919" "Fort Myers" "FL" -81.9124386 26.5221003
"Lee County Library System" "2345 Union Street, 33901" "Fort Myers" "FL" -81.8654899 26.6387764
"Riverdale Branch Library" "2421 Buckingham Road, 33905" "Fort Myers" "FL" -81.7215164 26.707763
"Fort Myers Beach Public Library" "2755 Estero Blvd., 33931" "Fort Myers Beach" "FL" -81.9392349 26.4478175
"Lakewood Park Branch Library" "7605 Santa Barbara Drive, " "Fort Pierce" "FL" -122.7011196 38.3341405
"St. Lucie County Library System" "101 Melody Lane, 34950" "Fort Pierce" "FL" -80.3221001 27.4483161
"Zora Neale Hurston Branch Library" "3010 Avenue D, " "Fort Pierce" "FL" -73.9480803 40.6409451
"Fort Walton Beach Library" "185 Miracle Strip Pkwy Se, " "Fort Walton Beach" "FL" -86.6054242 30.4036476
"Fort White Branch Library" "118 S.W. Wilson Springs Road, " "Fort White" "FL" -82.7140661 29.9213734
"Freeport Branch Library" "76 Highway 20 West, " "Freeport" "FL" -79.294983 43.043476
"Latt Maxcy Memorial Library" "15 North Magnolia Avenue, " "Frostproof" "FL" -94.4148768 30.7755428
"Fruitland Park Library" "506 West Berckman St., " "Fruitland Park" "FL" -81.9123535 28.8584637
"Fort Mccoy Public Library" "14660 Ne Hwy. 315, " "Ft. Mccoy" "FL" -81.9677972 29.3626113
"Alachua County Detention Center Branch" "3333 Ne 39th Avenue, " "Gainesville" "FL" -82.2793235 29.6780237
"Alachua County Library District" "401 East University Avenue, 32601" "Gainesville" "FL" -82.3210366 29.6517773
"Millhopper Branch Library" "3145 Nw 43rd St., " "Gainesville" "FL" -82.3879084 29.6819537
"Tower Road Branch Library" "3020 Sw 75th St., " "Gainesville" "FL" -82.4235271 29.625866
"Graceville Branch" "5314 Brown St., " "Graceville" "FL" -85.514326 30.954104
"Green Cove Springs Branch" "403 Ferris Street, " "Green Cove Spring" "FL" -81.6794308 29.9914558
"Greenacres Branch Library" "3750 Jog Road, " "Greenacres" "FL" -80.1459507 26.6226377
"Greenville Public Library" "312 S.W. Church Ave., " "Greenville" "FL" -88.7792981 35.8017794
"Marion Baysinger Memorial Library" "243 South Lake Avenue, " "Groveland" "FL" -118.132387 34.1410865
"Gulf Breeze Library" "1060 Shoreline Dr., " "Gulf Breeze" "FL" NA NA
"Gulfport Public Library" "5501 28th Avenue South, " "Gulfport" "FL" NA NA
"Haines City Public Library" "111 North 6th Street, 33844" "Haines City" "FL" NA NA
"Hallandale Branch" "300 S. Federal Highway, " "Hallandale" "FL" NA NA
"Hastings Branch Library" "6150 S. Main St., " "Hastings" "FL" NA NA
"Havana Public Library" "116 East 7th Avenue, " "Havana" "FL" NA NA
"Hawthorne Branch Library" "6640 Se 221 Street, " "Hawthorne" "FL" NA NA
"Curtiss E-Library" "501 East 4th Avenue, " "Hialeah" "FL" NA NA
"Hialeah Public Libraries" "190 West 49 Street, 33012" "Hialeah" "FL" NA NA
"John F. Kennedy Library" "190 West 49 Street, " "Hialeah" "FL" NA NA
"North Hialeah E-Library" "7400 West 10th Avenue, " "Hialeah" "FL" NA NA
"West Hialeah E-Library" "7400 W. 24th Avenue, " "Hialeah" "FL" NA NA
"Hialeah Gardens Branch Library" "11300 N.W. 87th Court, " "Hialeah Gardens" "FL" NA NA
"High Springs Branch Library" "135 Northwest First Avenue, " "High Springs" "FL" NA NA
"Highland Beach Library" "3614 South Ocean Blvd., 33487" "Highland Beach" "FL" NA NA
"Hillard Branch" "37177 Pecan Street, " "Hilliard" "FL" NA NA
"Hobe Sound Branch Library" "10595 S.E. Federal Highway, " "Hobe Sound" "FL" NA NA
"Centennial Park Branch Library" "5740 Moog Road East, " "Holiday" "FL" NA NA
"South Holiday Branch Library" "4649 Mile Stretch Drive, " "Holiday" "FL" NA NA
"Holly Hill Public Library" "1066 Ridgewood Ave., " "Holly Hill" "FL" NA NA
"Carver Ranches Branch" "4735 Sw 18th Street, " "Hollywood" "FL" NA NA
"Hollywood Beach Reading Center" "1301 S Ocean Dr., " "Hollywood" "FL" NA NA
"Hollywood Branch" "2600 Hollywood Boulevard, " "Hollywood" "FL" NA NA
"Stirling Road Branch" "3151 Stirling Road, " "Hollywood" "FL" NA NA
"Island Branch Library" "5701 Marina Drive, " "Holmes Beach" "FL" NA NA
"Homestead Branch Library" "700 North Homestead Blvd., " "Homestead" "FL" NA NA
"Homosassa Library" "4100 S Grandmarch Ave, " "Homosassa" "FL" NA NA
"Jimmy Weaver Memorial Library (Hosford Branch)" "22149 Ne State Rd 20, " "Hosford" "FL" NA NA
"Marianne Beck Memorial Library" "112 W. Central Ave., 34737" "Howey-In-The-Hills" "FL" NA NA
"Hudson Regional Library" "8012 Library Road, " "Hudson" "FL" NA NA
"Pasco County Public Library Cooperative" "8012 Library Road, 34667" "Hudson" "FL" NA NA
"Immokalee Branch Library" "417 North First Street, " "Immokalee" "FL" NA NA
"Indian Rocks Beach Library" "1507 Bay Palm Boulevard, 33785" "Indian Rocks Beach" "FL" NA NA
"Elisabeth Lahti Library" "15200 Sw Adams Ave, " "Indiantown" "FL" NA NA
"Interlachen Public Library" "133 N. State Road 315, " "Interlachen" "FL" NA NA
"Lakes Region Library" "1511 Druid Road, 34452" "Inverness" "FL" NA NA
"Helen Wadley Branch" ", " "Islamorada" "FL" NA NA
"Argyle Branch" "7973 S Old Middleburg Rd, " "Jacksonville" "FL" NA NA
"Bartram Trail Branch Library" "60 Davis Pond Blvd., " "Jacksonville" "FL" NA NA
"Bradham Brooks Northwest Regional Library" "1755 Edgewood Avenue West, " "Jacksonville" "FL" NA NA
"Brentwood Branch" "3725 Pearl Street, " "Jacksonville" "FL" NA NA
"Charles D. Webb-Wesconnett Regional Library" "6887 103rd Street, " "Jacksonville" "FL" NA NA
"Dallas James Graham Library" "2304 North Myrtle Avenue, " "Jacksonville" "FL" NA NA
"Highlands Regional Library" "1826 Dunn Avenue, " "Jacksonville" "FL" NA NA
"Jacksonville Public Library" "303 North Laura Street, 32202" "Jacksonville" "FL" NA NA
"Mandarin Regional Library" "3330 Kori Road, " "Jacksonville" "FL" NA NA
"Maxville Branch" "8375 Maxville Blvd, " "Jacksonville" "FL" NA NA
"Murray Hill Library" "918 Edgewood Avenue South, " "Jacksonville" "FL" NA NA
"Pablo Creek Regional Library" "13295 Beach Blvd, " "Jacksonville" "FL" NA NA
"Raiford A. Brown Eastside Library" "1390 Harrison Street, " "Jacksonville" "FL" NA NA
"Regency Square Regional Library" "9900 Regency Square Blvd., " "Jacksonville" "FL" NA NA
"San Marco Library" "1513 Lasalle St, " "Jacksonville" "FL" NA NA
"South Mandarin Regional Library" "12125 San Jose Blvd, " "Jacksonville" "FL" NA NA
"Southeast Regional Library" "10599 Deerwood Park Blvd., " "Jacksonville" "FL" NA NA
