"Library Name" "Address" "City" "ZIP Code" "State" "Latitude" "Longitude"
"139" "Duluth" "Duluth" "3480 Duluth Park Lane" NA "GA" -84.1567103 33.99761
"140" "Dunwoody Branch" "Dunwoody" "5339 Chamblee-Dunwoody Rd" NA "GA" -84.3317741 33.9446505
"141" "East Point Branch" "East Point" "2757 Main Street" NA "GA" -78.8360237 42.9420078
"142" "Murrell Memorial-Dodge County Public Library" "Eastman" "505 Second Avenue Sw" NA "GA" -86.8418571 34.1717
"143" "Ocmulgee Regional Library System" "Eastman" "531 Second Ave." 31023 "GA" -83.1800748 32.1927162
"144" "Eatonton - Putnam County Library" "Eatonton" "309 North Madison Avenue" NA "GA" -82.849438 31.5105531
"145" "Calhoun County Branch Library" "Edison" "227 East Hartford Street" NA "GA" -82.4307297 28.8859772
"146" "Elbert County Public Library System" "Elberton" "345 Heard Street" 30635 "GA" -82.859526 34.107382
"147" "Schley County Library" "Ellaville" "234 South Broad Street" NA "GA" -75.1758721 39.8902538
"148" "Gilmer County Library" "Ellijay" "15 Dalton Street" NA "GA" -71.0841299 42.3454631
"149" "Gibbs Memorial Library" "Evans" "326 Belair Road" NA "GA" -81.944855 33.520689
"150" "Fairburn-Hobgood-Palmer Branch" "Fairburn" "60 Valley View Drive" NA "GA" -95.8105677 41.2537588
"151" "Fayette County Public Library" "Fayetteville" "1821 Heritage Parkway" NA "GA" -96.9791054 31.7015146
"152" "Fitzgerald-Ben Hill County Library" "Fitzgerald" "123 North Main Street" 31750 "GA" -83.2545634 31.7155852
"153" "Charlton County Public Library" "Folkston" "701 North Cross Street" NA "GA" -73.2630993 44.5477861
"154" "Forest Park Branch Library" "Forest Park" "696 Main Street" NA "GA" -78.8720103 42.892844
"155" "Monroe County Library" "Forsyth" "62 West Main Street" NA "GA" -89.9851612 38.5135909
"156" "Clay County Branch Library" "Fort Gaines" "208 South Hancock Street" NA "GA" -79.7734547 34.9379403
"157" "Peach County Public Libraries System" "Fort Valley" "315 Martin Luther King Jr. Drive" 31030 "GA" -83.8840346 32.5514125
"158" "Thomas Public Library" "Fort Valley" "213 Persons Street" NA "GA" -83.6894165 33.2975794
