"STATE" "FSCS ID" "LIBRARY ID" "LIBRARY NAME" "LOCALE" "SERVICE AREA POPULATION" "LOCATION" "ADDRESS" "LATITUDE" "LONGITUDE" "UNDUPLICATED POPULATION" "CENTRAL LIBRARIES" "BRANCH LIBRARIES" "BOOKMOBILES" "MLS LIBRARIAN STAFF" "LIBRARIAN STAFF" "OTHER STAFF" "TOTAL STAFF" "LOCAL REVENUE" "STATE REVENUE" "FEDERAL REVENUE" "OTHER REVENUE" "TOTAL REVENUE" "SALARIES" "BENEFITS" "TOTAL STAFF EXPENDITURES" "PRINT EXPENDITURES" "ELECTRONIC EXPENDITURES" "OTHER COLLECTION EXPENDITURES" "TOTAL COLLECTION EXPENDITURES" "OTHER EXPENDITURES" "TOTAL EXPENDITURES" "LOCAL CAPITAL REVENUE" "STATE CAPITAL REVENUE" "FEDERAL CAPITAL REVENUE" "OTHER CAPITAL REVENUE" "TOTAL CAPITAL REVENUE" "CAPITAL EXPENDITURES" "PRINT MATERIALS" "EBOOKS" "AUDIO MATERIALS" "AUDIO DOWNLOADS" "VIDEO MATERIALS" "VIDEO DOWNLOADS" "LOCAL DATABASES" "STATE DATABASES" "TOTAL DATABASES" "PRINT SERIALS" "HOURS" "VISITS" "REFERENCES" "USERS" "TOTAL CIRCULATION" "KIDS CIRCULATION" "ELECTRONIC CIRCULATION" "LOANS TO" "LOANS FROM" "TOTAL PROGRAMS" "KIDS PROGRAMS" "YA PROGRAMS" "PROGRAM AUDIENCE" "KIDS PROGRAM AUDIENCE" "YA PROGRAM AUDIENCE" "COMPUTERS" "COMPUTER USES" "WIFI SESSIONS" "YEAR" "START DATE" "END DATE" "REPORTING STATUS" "BEA REGION" "STRUCTURE CHANGE" "NAME CHANGE" "ADDRESS CHANGE" "INTERLIBRARY RELATIONSHIP" "MAILING ADDRESS" "MAILING CITY" "MAILING ZIP" "PHONE" "COUNTY" "COUNTY POPULATION" "LEGAL BASIS" "ADMINISTRATIVE STRUCTURE" "FSCS DEFINITION" "LSABOUND" "CollectionSpace" "seatsPer" "WorkSpace" "GrossArea" "Size" "Distance" "Weight" "SizeWeight"
"OK" "OK0014" "20" "BRISTOW - MONTFORT & ALLIE JONES MEM LIBRARY" 32 4253 "111 W. 7TH AVE
BRISTOW, OK 74010
(35.833832, -96.391825)" "111 W. 7TH AVE
BRISTOW, OK 74010
" 35.833832 -96.391825 4247 1 0 0 0 4.25 0 4.25 146040 4314 0 10000 160354 76606 39700 116306 14185 1129 50 15364 9780 141450 0 0 0 0 0 0 36271 23062 1336 5783 1252 0 1 35 36 30 2080 17056 11024 7633 30383 6975 -1 0 66 59 49 0 1264 1034 0 12 6027 -1 2015 2013-07-01 2014-06-30 1 6 0 0 0 "NO" "111 W 7TH AVE" "BRISTOW" 74010 9183676562 "CREEK" 70632 "CI" "SO" "Y" "N" 506097 10 1913.4 594372.168 754852.65336 62.9513861580292 0.000252341921071653 190.480968674897
"OK" "OK0021" "27" "CHICKASHA PUBLIC LIBRARY" 32 16374 "527 IOWA AVENUE
CHICKASHA, OK 73018
(35.047601, -97.93921)" "527 IOWA AVENUE
CHICKASHA, OK 73018
" 35.047601 -97.93921 16351 1 0 0 2 2 4.5 6.5 346100 25605 701 4598 377004 186974 60848 247822 36731 5744 9613 52088 64773 364683 0 0 0 38891 38891 38891 47516 23062 1826 5783 625 76 6 35 41 83 2626 71392 5772 7038 50334 17083 8971 354 158 137 128 0 1469 1445 0 12 15152 -1 2015 2013-07-01 2014-06-30 1 6 0 0 0 "NO" "527 IOWA AVENUE" "CHICKASHA" 73018 4052226075 "GRADY" 53854 "CI" "SO" "Y" "N" 651190 4.5 3185.49 765619.3233 972336.540591 40.3336573005466 0.000614702234911052 597.697444586968
"OK" "OK0023" "29" "CLEVELAND - JAY C BYERS MEMORIAL LIBRARY" 32 3251 "215 E. WICHITA
CLEVELAND, OK 74020
(36.311096, -96.462388)" "215 E. WICHITA
CLEVELAND, OK 74020
" 36.311096 -96.462388 3246 1 0 0 0 2.28 0 2.28 84493 6546 0 90264 181303 52356 23394 75750 16905 1515 717 19137 28088 122975 0 0 0 0 0 0 14717 23062 192 5783 124 76 0 35 35 28 2548 22594 2184 6415 23486 8752 -1 102 108 57 44 12 1376 1287 61 17 7258 1182 2015 2013-07-01 2014-06-30 1 6 0 0 0 "NO" "215 E WICHITA" "CLEVELAND" 74020 9183582676 "PAWNEE" 16401 "CI" "SO" "Y" "N" 196558 10 1317.3 231514.101 294022.90827 80.6815357814082 0.000153621388831205 45.1682075166272
"OK" "OK0024" "8" "WESTERN PLAINS LIBRARY SYSTEM" 33 48715 "501 S. 28TH STREET
CLINTON, OK 73601
(35.508086, -98.993736)" "501 S. 28TH STREET
CLINTON, OK 73601
" 35.508086 -98.993736 48647 1 6 1 3 16 11.78 27.78 1927604 48335 1567 22632 2000138 791745 202502 994247 157096 118150 56280 331526 513055 1838828 88824 0 0 0 88824 88824 171826 3670 4168 675 3531 0 6 35 41 152 17030 168677 10816 8252 135314 26042 15341 214 2164 525 461 10 9814 8246 100 53 56042 1686 2015 2013-07-01 2014-06-30 1 6 0 0 15 "HQ" "501 S. 28TH STREET" "CLINTON" 73601 5803230974 "CUSTER" 29500 "MJ" "MA" "Y" "N" 2338186 3 8551.35 2745682.6995 3487017.028365 90.717429777574 0.000121511819946599 423.713785301411
"OK" "OK0026" "31" "CRESCENT COMMUNITY LIBRARY" 42 1411 "205 N. GRAND
CRESCENT, OK 73028
(35.953669, -97.595506)" "205 N. GRAND
CRESCENT, OK 73028
" 35.953669 -97.595506 1409 1 0 0 0 1 0 1 33091 3639 0 0 36730 NA NA NA 4413 0 0 4413 NA 36680 0 0 0 0 0 0 11752 0 62 0 50 0 0 35 35 0 2184 4800 312 1023 4782 857 0 0 0 5 5 0 167 167 0 4 885 885 2015 2013-07-01 2014-06-30 1 6 0 0 0 "NO" "205 N GRAND" "CRESCENT" 73028 4059693779 "LOGAN" 45276 "CI" "SO" "Y" "N" 154412 14.25 753.2025 181543.286925 230559.97439475 38.8861645314033 0.000661317143572057 152.473263688783
"OK" "OK0027" "32" "CUSHING PUBLIC LIBRARY" 32 7889 "215 NORTH STEELE AVENUE
CUSHING, OK 74023
(35.981251, -96.768961)" "215 NORTH STEELE AVENUE
CUSHING, OK 74023
" 35.981251 -96.768961 7878 1 0 0 0 2 2 4 302872 4775 0 0 307647 159000 96941 255941 15025 0 1700 16725 34831 307497 0 0 0 0 0 0 37696 0 327 0 390 0 0 35 35 74 3224 26984 1248 6357 26054 8751 0 0 3 127 78 1 2161 1881 4 4 4111 -1 2015 2013-07-01 2014-06-30 1 6 0 0 0 "NO" "215 NORTH STEELE AVENUE" "CUSHING" 74023 9182254188 "PAYNE" 80264 "CI" "SO" "Y" "N" 500511 7 2256.69 588238.1973 747062.510571 52.2260802084758 0.000366627584247289 273.89372353236
"OK" "OK0030" "34" "DRUMRIGHT PUBLIC LIBRARY" 42 2899 "104 EAST BROADWAY
DRUMRIGHT, OK 74030
(35.988473, -96.601563)" "104 EAST BROADWAY
DRUMRIGHT, OK 74030
" 35.988473 -96.601563 2895 1 0 0 0 1.4 0.53 1.93 74838 3557 0 1798 80193 NA NA NA 3581 0 0 3581 NA 77840 0 0 0 0 0 0 13945 0 145 0 1299 0 0 35 35 4 1716 5591 13000 1006 3646 1286 0 2 27 4 4 0 78 78 0 7 1580 150 2015 2013-07-01 2014-06-30 1 6 0 0 0 "NO" "104 EAST BROADWAY" "DRUMRIGHT" 74030 9183522228 "CREEK" 70632 "CI" "SO" "Y" "N" 200424 10 1159.2 235852.344 299532.47688 59.2317052088905 0.000285030627379877 85.3759298057549
