"STATE" "FSCS ID" "LIBRARY ID" "LIBRARY NAME" "LOCALE" "SERVICE AREA POPULATION" "LOCATION" "ADDRESS" "LATITUDE" "LONGITUDE" "UNDUPLICATED POPULATION" "CENTRAL LIBRARIES" "BRANCH LIBRARIES" "BOOKMOBILES" "MLS LIBRARIAN STAFF" "LIBRARIAN STAFF" "OTHER STAFF" "TOTAL STAFF" "LOCAL REVENUE" "STATE REVENUE" "FEDERAL REVENUE" "OTHER REVENUE" "TOTAL REVENUE" "SALARIES" "BENEFITS" "TOTAL STAFF EXPENDITURES" "PRINT EXPENDITURES" "ELECTRONIC EXPENDITURES" "OTHER COLLECTION EXPENDITURES" "TOTAL COLLECTION EXPENDITURES" "OTHER EXPENDITURES" "TOTAL EXPENDITURES" "LOCAL CAPITAL REVENUE" "STATE CAPITAL REVENUE" "FEDERAL CAPITAL REVENUE" "OTHER CAPITAL REVENUE" "TOTAL CAPITAL REVENUE" "CAPITAL EXPENDITURES" "PRINT MATERIALS" "EBOOKS" "AUDIO MATERIALS" "AUDIO DOWNLOADS" "VIDEO MATERIALS" "VIDEO DOWNLOADS" "LOCAL DATABASES" "STATE DATABASES" "TOTAL DATABASES" "PRINT SERIALS" "HOURS" "VISITS" "REFERENCES" "USERS" "TOTAL CIRCULATION" "KIDS CIRCULATION" "ELECTRONIC CIRCULATION" "LOANS TO" "LOANS FROM" "TOTAL PROGRAMS" "KIDS PROGRAMS" "YA PROGRAMS" "PROGRAM AUDIENCE" "KIDS PROGRAM AUDIENCE" "YA PROGRAM AUDIENCE" "COMPUTERS" "COMPUTER USES" "WIFI SESSIONS" "YEAR" "START DATE" "END DATE" "REPORTING STATUS" "BEA REGION" "STRUCTURE CHANGE" "NAME CHANGE" "ADDRESS CHANGE" "INTERLIBRARY RELATIONSHIP" "MAILING ADDRESS" "MAILING CITY" "MAILING ZIP" "PHONE" "COUNTY" "COUNTY POPULATION" "LEGAL BASIS" "ADMINISTRATIVE STRUCTURE" "FSCS DEFINITION" "LSABOUND" "CollectionSpace" "seatsPer" "WorkSpace" "GrossArea" "Size" "Distance" "Weight" "SizeWeight"
" 44.07794 -103.22831 66254 1 2 0 5 5 33.88 38.88 3421942 0 0 76679 3498621 1553394 428660 1982054 141442 257246 0 398688 1051237 3431979 0 0 0 0 0 0 110373 10859 4793 19400 9232 6368 39 39 78 112 7644 487584 44135 43127 573089 130662 88311 1879 414 341 250 25 17025 12877 338 107 414346 -1 2015 2014-01-01 2014-12-31 1 4 0 0 0 "NO" "610 QUINCY STREET" "RAPID CITY" 57701 6053946139 "PENNINGTON" 108242 "CI" "MO" "Y" "N" 1623445 2.25 12970.8675 1914606.564975 2431550.33751825 8.97163409109757 0.0124238699007293 30209.2650504011
"SD" "SD0116" "FSCS 53" "BELLE FOURCHE PUBLIC LIBRARY" 33 10330 "905 5TH AVE
BELLE FOURCHE, SD 57717
(44.668849, -103.853627)" "905 5TH AVE
BELLE FOURCHE, SD 57717
" 44.668849 -103.853627 6471 1 0 0 0 1 2.5 3.5 223970 0 0 0 223970 113137 65956 179093 21163 794 0 21957 22920 223970 0 0 0 0 0 0 43887 11494 1210 3225 1610 0 31 39 70 98 2080 15755 1502 10110 73420 14441 2123 0 82 48 44 0 3958 3844 0 11 11199 195 2015 2014-01-01 2014-12-31 1 4 0 0 0 "NO" "905 5TH AVE." "BELLE FOURCHE" 57717 6058924407 "BUTTE" 10298 "CI" "SO" "Y" "N" 608960 4.5 1919.55 714729.0735 907705.923345 52.7917365544135 0.000358812945792791 325.696636268985
"SD" "SD0117" "FSCS 91" "CUSTER COUNTY LIBRARY" 42 8468 "447 CROOK STREET SUITE 4
CUSTER, SD 57730
(43.767134, -103.601793)" "447 CROOK STREET SUITE 4
CUSTER, SD 57730
" 43.767134 -103.601793 5305 1 1 0 0 3.55 0 3.55 184081 0 0 9093 193174 114814 36316 151130 12150 2342 3032 17524 21738 190392 0 0 0 0 0 0 24853 11494 1218 3499 2728 0 0 39 39 55 2574 34022 2900 3556 45801 11796 4894 0 81 72 42 4 1851 1513 36 8 3796 6220 2015 2014-01-01 2014-12-31 1 4 0 0 0 "NO" "447 CROOK ST., SUITE #4" "CUSTER" 57730 6056734803 "CUSTER" 8445 "CO" "MO" "Y" "N" 375462 7 2310.78 441994.1526 561332.573802 37.103614098523 0.000726386177342741 407.744222501997
"SD" "SD0118" "FSCS 104" "DEADWOOD PUBLIC LIBRARY" 41 24910 "435 WILLIAMS ST
DEADWOOD, SD 57732
(44.380351, -103.72664)" "435 WILLIAMS ST
DEADWOOD, SD 57732
" 44.380351 -103.72664 15605 1 0 0 0 2 0 2 127302 0 0 2652 129954 NA NA NA 7350 3739 3894 14983 NA 134872 0 0 0 0 0 0 18842 11494 37 3225 1561 0 3 39 42 50 2340 16367 3392 1951 18765 1269 551 233 121 271 254 5 2156 2040 15 11 10506 1963 2015 2014-01-01 2014-12-31 1 4 0 0 0 "NO" "435 WILLIAMS ST" "DEADWOOD" 57732 6055782821 "LAWRENCE" 24657 "CI" "SO" "Y" "N" 266865 4.5 3662.85 316517.5845 401977.332315 36.1156461981072 0.000766671325292389 308.18449410344
"SD" "SD0119" "FSCS 40" "EDGEMONT PUBLIC LIBRARY" 43 740 "412 2ND AVE
EDGEMONT, SD 57735
(43.300735, -103.825166)" "412 2ND AVE
EDGEMONT, SD 57735
" 43.300735 -103.825166 464 1 0 0 0 1 0.45 1.45 72590 0 0 1500 74090 NA NA NA 4663 1097 2592 8352 NA 74069 0 0 0 0 0 2841 14862 11494 297 3225 2470 0 0 39 39 21 2080 13736 1237 556 16541 2818 573 0 19 91 69 14 1461 1338 91 8 5669 1347 2015 2014-01-01 2014-12-31 1 4 0 0 0 "NO" "P.O. BOX A" "EDGEMONT" 57735 6056627712 "FALL RIVER" 6845 "CI" "SO" "Y" "N" 229810 22.5 717 269716.59 342540.0693 69.4880719711343 0.000207099703124317 70.9399466602128
"SD" "SD0120" "FSCS 79" "HILL CITY PUBLIC LIBRARY" NA 105761 "341 MAIN ST
HILL CITY, SD 57745
(0.0, 0.0)" "341 MAIN ST
HILL CITY, SD 57745
" 43.9301029 -103.5760935 66254 1 0 0 0 1 1 2 87244 0 0 1200 88444 NA NA NA 7407 2450 1372 11229 NA 88173 0 0 0 0 0 5100 11001 11494 298 3225 1224 0 31 39 70 12 2442 21857 4212 2430 16181 3790 572 0 112 113 98 5 2635 2416 107 4 19931 -1 2015 2014-01-01 2014-12-31 1 4 0 6 7 "NO" "PO BOX 88" "HILL CITY" 57745 6055744529 "PENNINGTON" 108242 "CI" "SO" "Y" "N" 163135 2.25 7438.8675 199571.424975 253455.70971825 29.0697584120023 0.00118336073516777 299.929534984656
"SD" "SD0121" "FSCS 66" "HOT SPRINGS PUBLIC LIBRARY" 33 3514 "2005 LIBRARY DRIVE
HOT SPRINGS, SD 57747
(43.423988, -103.478015)" "2005 LIBRARY DRIVE
HOT SPRINGS, SD 57747
" 43.423988 -103.478015 2201 1 0 0 0 4 0 4 225828 0 0 8796 234624 113880 44264 158144 13400 1500 11006 25906 45890 229940 0 0 0 0 0 4237 20170 11494 996 3246 3297 0 0 39 39 168 2158 53545 1128 4992 65272 16395 2804 0 128 142 56 49 2107 763 755 15 18788 1872 2015 2014-01-01 2014-12-31 1 4 0 0 0 "NO" "2005 LIBRARY DRIVE" "HOT SPRINGS" 57747 6057453151 "FALL RIVER" 6845 "CI" "SO" "Y" "N" 320878 10 1654.2 377362.674 479250.59598 53.8740278991254 0.000344541155828641 165.121554270514
"SD" "SD0122" "FSCS 15" "KEYSTONE TOWN LIBRARY" 42 105761 "1101 MADILL ST
KEYSTONE, SD 57751
(43.901518, -103.412291)" "1101 MADILL ST
KEYSTONE, SD 57751
" 43.901518 -103.412291 66254 1 0 0 0 1 0 1 54689 0 0 258 54947 NA NA NA 9195 2458 1944 13597 NA 39941 0 0 0 0 0 0 8581 11494 98 3225 1117 0 31 39 70 13 1560 7600 1250 726 3975 463 213 0 0 220 110 71 2460 1190 970 6 3770 -1 2015 2014-01-01 2014-12-31 1 4 0 0 0 "NO" "PO BOX 689" "KEYSTONE" 57751 6056664499 "PENNINGTON" 108242 "CI" "SO" "Y" "N" 127787 2.25 7288.8675 158038.764975 200709.23151825 23.844940948796 0.00175876371647917 353.000113956716
"SD" "SD0123" "FSCS 106" "PHOEBE APPERSON HEARST FREE LIBRARY" 32 24910 "315 WEST MAIN
LEAD, SD 57754
(44.351971, -103.766447)" "315 WEST MAIN
LEAD, SD 57754
" 44.351971 -103.766447 15605 1 0 0 1 3 1.28 4.28 178794 0 0 428 179222 80343 33031 113374 9336 1500 3570 14406 21961 149741 0 0 0 0 0 5586 18844 11494 1445 3225 2049 0 31 39 70 32 2042 21836 4367 2643 28820 6448 1925 347 729 147 72 12 2279 1583 51 12 13251 1046 2015 2014-01-01 2014-12-31 1 4 0 0 0 "NO" "315 W. MAIN" "LEAD" 57754 6055842013 "LAWRENCE" 24657 "CI" "SO" "Y" "N" 291350 4.5 4004.85 345565.1745 438867.771615 37.1004448381275 0.000726510283955537 318.841949374947
"SD" "SD0124" "FSCS 83" "NEWELL PUBLIC LIBRARY" 43 608 "208 GIRARD
NEWELL, SD 57760
(44.71117, -103.420549)" "208 GIRARD
NEWELL, SD 57760
" 44.71117 -103.420549 381 1 0 0 0 0.5 0 0.5 27125 0 0 750 27875 NA NA NA 4554 600 0 5154 NA 27536 1800 0 0 0 1800 2800 24370 11494 189 3225 216 0 0 39 39 15 1014 4227 65 958 4046 752 230 0 9 14 13 0 271 240 0 3 1683 -1 2015 2014-01-01 2014-12-31 1 4 0 0 0 "NO" "P.O. BOX 54" "NEWELL" 57760 6054562179 "BUTTE" 10298 "CI" "SO" "Y" "N" 322405 22.5 485.4 377781.768 479782.84536 42.6360318058088 0.000550106079991843 263.931460308322
"SD" "SD0125" "FSCS 102" "GRACE BALLOCH MEMORIAL LIBRARY" 32 24910 "625 NORTH FIFTH STREET
SPEARFISH, SD 57783
(44.489055, -103.860259)" "625 NORTH FIFTH STREET
SPEARFISH, SD 57783
" 44.489055 -103.860259 15605 1 0 0 2 4.25 1.7 5.95 358666 0 0 30756 389422 242990 38343 281333 37394 24892 9777 72063 57302 410698 0 0 0 0 0 0 58123 21871 2953 3225 3517 0 31 39 70 85 3072 109135 8213 7584 132363 33063 11069 822 2183 161 128 28 4625 4339 235 10 37505 -1 2015 2014-01-01 2014-12-31 1 4 0 0 0 "NO" "625 N. FIFTH STREET" "SPEARFISH" 57783 6056421330 "LAWRENCE" 24657 "CI" "SO" "Y" "N" 841264 4.5 4255.35 989257.6395 1256357.202165 45.5267619964361 0.000482465733871322 606.149299547057
"SD" "SD0126" "FSCS 54" "STURGIS PUBLIC LIBRARY" 32 27202 "1040 2ND STREET, SUITE 101
STURGIS, SD 57785
(44.413826, -103.512755)" "1040 2ND STREET, SUITE 101
STURGIS, SD 57785
" 44.413826 -103.512755 17041 1 0 0 0 3 2.75 5.75 336961 0 0 13126 350087 218751 58128 276879 14695 3000 5515 23210 35996 336085 0 0 0 53027 53027 2256 45241 11507 988 3228 1687 0 31 39 70 77 3172 93116 7800 6983 55550 14500 7505 174 575 274 202 7 5316 3482 112 27 30164 81030 2015 2014-01-01 2014-12-31 1 4 0 0 0 "NO" "1040 2ND STREET, SUITE 101" "STURGIS" 57785 6053472624 "MEADE" 26951 "CI" "SO" "Y" "N" 625124 3 3310.68 735268.5756 933791.091012 28.5038270792329 0.00123081746644846 1149.32638483154
"SD" "SD0127" "FSCS 38" "WALL COMMUNITY LIBRARY" 43 105761 "407 MAIN ST
WALL, SD 57790
(43.99454, -102.24186)" "407 MAIN ST
WALL, SD 57790
" 43.99454 -102.24186 66254 1 0 0 0 0.5 0 0.5 28500 0 0 2245 30745 NA NA NA 2764 600 100 3464 NA 24637 0 0 0 0 0 0 11037 11494 115 3225 126 0 0 39 39 2 955 3177 607 433 3441 443 633 1 11 67 50 0 926 845 0 7 668 -1 2015 2014-01-01 2014-12-31 1 4 0 0 0 "NO" "PO BOX 131" "WALL" 57790 6052792929 "PENNINGTON" 108242 "CI" "SO" "Y" "N" 146955 2.25 7213.8675 180377.574975 229079.52021825 42.7124944609217 0.000548138275375921 125.567253136375
"SD" "SD0128" "FSCS 85" "WHITEWOOD PUBLIC LIBRARY" 42 24910 "1201 ASH ST
WHITEWOOD, SD 57793
(44.463665, -103.636956)" "1201 ASH ST
WHITEWOOD, SD 57793
" 44.463665 -103.636956 15605 1 0 0 0 1.05 0.05 1.1 63912 0 0 525 64437 NA NA NA 9000 1300 3100 13400 NA 58828 0 0 0 0 0 796 8000 0 640 0 450 0 31 39 70 5 1664 9000 2000 680 4885 1750 0 16 15 59 46 13 886 822 64 6 5925 1300 2015 2014-01-01 2014-12-31 1 4 0 0 0 "NO" "1201 ASH ST" "WHITEWOOD" 57793 6052692616 "LAWRENCE" 24657 "CI" "SO" "Y" "N" 118505 4.5 3527.85 142778.4345 181328.611815 35.4378903635618 0.000796277198073541 144.387838946613
"SD" "SD0136" "FSCS 96" "BENNETT COUNTY LIBRARY" 43 3452 "101 MAIN STREET
MARTIN, SD 57551
(43.175097, -101.731907)" "101 MAIN STREET
MARTIN, SD 57551
" 43.175097 -101.731907 2163 1 0 0 0 0.13 1.65 1.78 78328 0 0 670 78998 NA NA NA 3500 1500 500 5500 NA 79998 0 0 0 0 0 0 28761 11494 986 3225 0 0 0 39 39 5 1650 4982 210 2491 6745 1839 478 0 0 4 3 0 34 24 0 14 3750 -1 2015 2014-01-01 2014-12-31 1 4 0 0 0 "NO" "PO BOX 190" "MARTIN" 57551 6056856556 "BENNETT" 3430 "CO" "SO" "Y" "Y" 387406 10 1302.6 454789.062 577582.10874 95.0281043759952 0.000110737794058602 63.9601686095832
"SD" "SD0153" "C" "BISON PUBLIC LIBRARY" 43 338 "300 W CARR ST
BISON, SD 57620
(45.523478, -102.466588)" "300 W CARR ST
BISON, SD 57620
" 45.523478 -102.466588 212 1 0 0 0 0.45 0.15 0.6 13674 0 0 5572 19246 NA NA NA 1697 987 820 3504 NA 20250 0 0 0 0 0 0 8172 11494 100 3225 576 0 0 39 39 8 1144 3112 23 230 2030 898 461 0 0 70 50 14 984 810 83 3 1018 2752 2015 2014-01-01 2014-12-31 1 4 0 0 0 "NO" "PO BOX 130" "BISON" 57620 6052447252 "PERKINS" 3033 "CI" "SO" "Y" "N" 115263 22.5 318.15 135229.9455 171742.030785 99.8206910405782 0.000100359584781147 17.2359588990535
"SD" "SD0154" "D" "OGLALA LAKOTA COLLEGE LIBRARY RESOURCE CENTER" 43 18834 "3-MILE CREEK ROAD
KYLE, SD 57752
(43.524591, -102.344589)" "3-MILE CREEK ROAD
KYLE, SD 57752
" 43.524591 -102.344589 11799 1 12 0 0 1 5 6 7000 0 380000 0 387000 230000 70000 3e+05 25000 20000 12000 57000 23000 380000 0 0 0 0 0 0 48000 11494 73 3225 500 0 18 39 57 31 29000 17000 5000 8000 1626 170 146 0 83 143 134 2 5170 5000 37 30 23000 1264 2015 2014-01-01 2014-12-31 1 4 0 0 0 "NO" "P.O. BOX 310" "KYLE" 57752 6054556064 "SHANNON" 14218 "NL" "MO" "Y" "N" 633202 4.5 3442.59 744874.1703 945990.196281 56.3719456511838 0.00031468348480635 297.687491558348
"SD" "SD0156" "F" "MIDLAND COMMUNITY LIBRARY" 43 127 "401 RUSSELL ST
MIDLAND, SD 57552
(44.072041, -101.155713)" "401 RUSSELL ST
MIDLAND, SD 57552
" 44.072041 -101.155713 80 1 0 0 0 0.15 0 0.15 7580 0 0 2169 9749 NA NA NA 200 0 240 440 NA 7070 0 0 0 0 0 0 14700 0 15 0 1015 0 0 39 39 1 310 530 225 98 1482 732 0 0 0 5 5 0 98 98 0 1 33 -1 2015 2014-01-01 2014-12-31 1 4 0 0 0 "NO" "23710 STAMFORD ROAD" "MIDLAND" 57552 6058432158 "HAAKON" 1847 "CI" "SO" "Y" "N" 204548 22.5 108.225 239447.78325 304098.6847275 95.4564319304416 0.000109746229003373 33.3736838937288
"SD" "SD0162" "FSCS 162" "PIEDMONT VALLEY LIBRARY" 23 27202 "111 2ND STREET
PIEDMONT, SD 57769
(44.231713, -103.389219)" "111 2ND STREET
PIEDMONT, SD 57769
" 44.231713 -103.389219 17041 1 0 0 0 0.58 0.33 0.91 33945 0 0 7945 41890 NA NA NA 6652 600 1037 8289 NA 41539 0 0 0 0 0 351 11285 11494 387 3225 705 0 0 39 39 4 2024 10923 256 1226 11937 3722 1758 0 17 143 83 24 1828 1031 226 3 2108 612 2015 2014-01-01 2014-12-31 1 4 0 0 0 "NO" "PO BOX 101" "PIEDMONT" 57769 6057183663 "MEADE" 26951 "CI" "SO" "Y" "N" 161088 3 2584.68 191497.0356 243201.235212 16.6710835520249 0.00359809266376242 875.060580234256
"WY" "WY0013" "19" "CROOK COUNTY PUBLIC LIBRARY" 43 7184 "414 MAIN STREET
SUNDANCE, WY 82729
(44.406315, -104.378247)" "414 MAIN STREET
SUNDANCE, WY 82729
" 44.406315 -104.378247 7184 1 2 0 0 9 0.48 9.48 578612 0 0 5492 584104 258235 114278 372513 29076 953 1647 31676 72987 477176 7611 0 0 0 7611 7611 66286 7087 2053 5850 2173 0 2 78 80 200 6448 27000 913 3214 35185 11071 1278 393 215 582 439 11 9744 8521 153 18 5529 -1 2015 2013-07-01 2014-06-30 1 7 0 0 0 "ME" "PO BOX 910" "SUNDANCE" 82729 3072831006 "CROOK" 7248 "CO" "MO" "Y" "N" 920066 7 2930.64 1079906.0688 1371480.707376 67.008049502589 0.000222713245630624 305.446919659492
"WY" "WY0023" "33" "WESTON COUNTY LIBRARY SYSTEM" 33 7158 "23 WEST MAIN ST
NEWCASTLE, WY 82701
(43.855671, -104.202302)" "23 WEST MAIN ST
NEWCASTLE, WY 82701
" 43.855671 -104.202302 7158 1 1 0 0 4 2.41 6.41 360885 0 0 8475 369360 172895 70563 243458 10671 1138 4634 16443 48115 308016 0 0 0 0 0 0 43264 7087 1862 5850 3831 0 3 78 81 95 3770 43103 2844 4929 47855 17226 1465 545 700 196 171 2 3797 3296 34 9 6387 826 2015 2013-07-01 2014-06-30 1 7 0 0 0 "ME" "23 WEST MAIN STREET" "NEWCASTLE" 82701 3077462206 "WESTON" 7201 "CO" "MO" "Y" "N" 638081 7 2464.68 749438.4456 951786.825912 59.5937521325176 0.000281577883021942 268.002119528474
