"Base..Long.Name." "Base..Short.Name." "Base..Abbreviation." "Longitude" "Latitude" "5_Miles" "Std_5_Miles" "10_Miles" "Std_10_Miles" "15_Miles" "Std_15_Miles" "20_Miles" "Std_20_Miles" "25_Miles" "Std_25_Miles" "30_Miles" "Std_30_Miles" "35_Miles" "Std_35_Miles" "40_Miles" "Std_40_Miles" "45_Miles" "Std_45_Miles" "50_Miles" "Std_50_Miles" "55_Miles" "Std_55_Miles" "60_Miles" "Std_60_Miles" "65_Miles" "Std_65_Miles" "70_Miles" "Std_70_Miles" "75_Miles" "Std_75_Miles" "80_Miles" "Std_80_Miles" "85_Miles" "Std_85_Miles" "90_Miles" "Std_90_Miles" "95_Miles" "Std_95_Miles" "100_Miles" "Std_100_Miles"
"Hurlburt Field" "hurlburt field" "hrlf" -86.6949711 30.4236556 0 0 56945.95 0.00178456179969521 56945.95 0.00220286745401338 775263.477298898 0.0297697866803394 775263.477298898 0.033271987555387 815617.578737812 0.0361621210205895 913084.504773935 0.0283013759147834 913084.504773935 0.0292341807160126 924574.559224613 0.0257479667442435 913310.125983642 0.0254570944114619 900939.48765424 0.0248523325114838 904157.951732696 0.0248245083380421 872774.347502943 0.0234225752031848 864874.613495034 0.023090055787515 863192.237775806 0.0232208190677549 857268.619728574 0.0231761242998103 887148.234356333 0.0246664620187695 875760.655289184 0.0243469403619389 871393.438433076 0.023941997094723 872744.790946417 0.024049915566762
"Keesler AFB" "keesler" "kslr" -88.923611 30.411389 0 0 0 0 2980157.58049587 0.115282862818262 2980157.58049587 0.114436779292459 3143103.2791483 0.134892583297587 2979001.64637576 0.132080304379273 2979001.64637576 0.123803348602238 2979001.64637576 0.127883869575216 2881089.15269201 0.119562102644237 2842795.35177731 0.11888999330583 2806532.62337003 0.117128829100083 2810251.97315845 0.117142648034233 2730493.65475212 0.113888944501734 2664322.59229665 0.111038961919488 2530343.26378681 0.105378124361741 2544298.73753186 0.107199318782237 2582131.39590922 0.109337064906931 2562706.80576037 0.10958356900151 2555660.18402808 0.109085666568648 2526026.44023441 0.107770496782438
"Kirtland AFB" "kirtland" "krtl" -106.5112712 35.0128396 0 0 14450681.07 0.452852808972379 10112875.4441788 0.391201203640866 4891407.40593456 0.187827956952966 4143632.16451878 0.177832287795 3831504.40732922 0.169877807542082 3751987.17773563 0.159536457940055 3638045.45794598 0.159353895960484 3530318.52066778 0.150692405664163 3479113.05177279 0.149702878801712 3479113.05177279 0.149697883030766 3429344.07084923 0.14712722912886 3391726.76644981 0.146089373620302 3382179.33184909 0.146124563585587 3361884.10516655 0.146356508265637 3342811.56544571 0.146969562317593 3326796.40944571 0.146535803558759 3319340.6386179 0.147814141453037 3312659.93833297 0.14735379543894 3312659.93833297 0.147604855128395
"Lackland AFB" "lackland" "lckl" -98.6205193 29.3877765 0 0 8359720.41000277 0.261975394208426 8359720.41000277 0.323383067906435 6874055.15868524 0.263960784552796 5984426.21030619 0.256833657493028 5657305.37583955 0.250828534088407 5261456.7220941 0.229315306420926 5136961.02714573 0.230928670935787 4950538.41728737 0.218791413376249 4924517.07056091 0.219694753185406 4853310.20638093 0.216242045408654 4789185.12839905 0.212988616502394 4701115.68644626 0.209853399288546 4679941.53066004 0.209553330157021 4643653.79534351 0.209522197581988 4597739.74810437 0.209471751010173 4597534.07817129 0.210013793761988 4567362.93695193 0.21087318643043 4539618.57108562 0.209379457679492 4519967.31254324 0.208741731061413
"Langley AFB" "langley" "lngl" -76.3592241 37.0835074 1809862.8359026 0.0676432583368729 2176534.00089009 0.0682078257317023 2176534.00089009 0.0841959070507086 2282276.04843727 0.087638426286178 2259384.59344743 0.0969660228777075 2335452.9979998 0.103547221336577 2344928.14098301 0.0944917806915789 2344928.14098301 0.0976062012402899 2336024.77564091 0.0934264716023575 2332003.19192763 0.0941555244489154 2334366.87967397 0.0942646616024095 2328088.63458425 0.0937899582159311 2323747.48066525 0.0940814044432731 2336189.73679318 0.0950013070122809 2337919.87614323 0.0958954879612689 2342931.49007376 0.0971701443075129 2340801.03505176 0.0972817314897551 2338680.80812627 0.0982641675134344 2336490.54601516 0.0980061227454989 2335499.84236009 0.0981224144257795
"Laughlin AFB" "laughlin" "lghl" -100.7830826 29.3565576 0 0 791311.070000002 0.024797962053455 791311.070000002 0.0306106650622828 791311.070000002 0.0303860073916637 731580.336204224 0.0313972379129221 704629.579163408 0.0312412345940686 704629.579163408 0.0186650472298942 704629.579163408 0.0192802415484899 704629.579163408 0.0152016880101733 706374.595948286 0.015436501251702 706374.595948286 0.0154307166223073 701714.361229209 0.0150195273357305 702817.237440325 0.0151460812119552 698938.588371092 0.0149798508416308 698938.588371092 0.0151263891035524 698938.588371092 0.0152904351963573 694779.942689283 0.0150569628795024 694779.942689283 0.0152024956584171 694779.942689283 0.0150137669639717 688279.510150905 0.0147087724354848
"Little Rock AFB" "little rock" "lttr" -92.1446849 34.8964136 0 0 0 0 7093849.30751558 0.274414769851085 6097352.44972387 0.234135731990818 5794750.80085557 0.248693356746769 5794750.80085557 0.256922466125585 5494900.69346184 0.240106813654525 5348154.45979191 0.24101337665806 5278973.12623911 0.234539733640637 5226916.11194125 0.234338046993173 5105772.95000138 0.228467308537391 5071222.55443721 0.226648577765517 5003303.17889364 0.224569188257563 4946631.71772399 0.222587944385784 4921429.71063644 0.223211011804562 4864301.78885219 0.222747977649535 4840328.17358258 0.222142246069045 4801493.9544196 0.222703166055637 4769573.23940699 0.221004210305374 4701745.48548519 0.217946801653939
"Los Angeles AFB" "los angeles" "lsan" -118.381147 33.91903 2253233.24420715 0.0842141378935618 2675962.63672239 0.0838588292741879 4912104.36845855 0.190017285583861 4860049.10466361 0.186623811566488 4798300.4000728 0.205928688598185 4778822.05121642 0.211879127984687 4778012.34750218 0.206966931198877 4772097.38710715 0.213506053231993 4767340.97374279 0.210007165140837 4756136.93196714 0.211541156436003 4756949.73901267 0.211575883376619 4764519.00899864 0.211793958615127 4766293.6916905 0.213027408122689 4764168.70895366 0.213669974975195 4761542.15563315 0.215331743241506 4760931.73822299 0.217599591870279 4758791.07353837 0.218069169961215 4757695.68695153 0.220490163193519 4757233.36746703 0.220380400578943 4757233.36746703 0.220756654247384
"Luke AFB" "luke" "luke" -112.3585753 33.544783 0 0 1008360.75084648 0.0315998253830625 1443639.11317505 0.0558449831419803 2410596.24537461 0.0925658670872244 2410596.24537461 0.103455574299219 2456211.50086753 0.108901303579049 2492828.58300103 0.101328833199462 2454812.0852293 0.102853273686823 2443723.28127869 0.0985905742765026 2433166.28411778 0.0990542201414704 2425188.80169927 0.0986626249561081 2422459.11814866 0.0983606181030963 2413798.0282603 0.0984666450242807 2405866.96190728 0.0984068157034393 2392055.72263835 0.0985633058124745 2384356.16436157 0.0992333164034492 2380667.68535214 0.0992732163567624 2371984.84347021 0.0999469264396857 2365530.27945591 0.0994741499877138 2362565.53528198 0.0994929948972929
"MacDill AFB" "macdill" "mcdl" -82.487858 27.8569134 0 0 31910326.675 1 25850829.0620259 1 26041956.0819661 1 23300786.4651409 1 22554472.9047676 1 21933057.0506631 1 21242816.6076524 1 21242816.6076524 1 21038621.022748 1 21038621.022748 1 21038621.022748 1 20926709.8722241 1 20852600.4636213 1 20684173.5595254 1 20470082.774756 1 20411916.777219 1 20185231.2364351 1 20179253.2737282 1 20145429.497445 1
