"STATE" "FSCS ID" "LIBRARY ID" "LIBRARY NAME" "LOCALE" "SERVICE AREA POPULATION" "LOCATION" "ADDRESS" "LATITUDE" "LONGITUDE" "UNDUPLICATED POPULATION" "CENTRAL LIBRARIES" "BRANCH LIBRARIES" "BOOKMOBILES" "MLS LIBRARIAN STAFF" "LIBRARIAN STAFF" "OTHER STAFF" "TOTAL STAFF" "LOCAL REVENUE" "STATE REVENUE" "FEDERAL REVENUE" "OTHER REVENUE" "TOTAL REVENUE" "SALARIES" "BENEFITS" "TOTAL STAFF EXPENDITURES" "PRINT EXPENDITURES" "ELECTRONIC EXPENDITURES" "OTHER COLLECTION EXPENDITURES" "TOTAL COLLECTION EXPENDITURES" "OTHER EXPENDITURES" "TOTAL EXPENDITURES" "LOCAL CAPITAL REVENUE" "STATE CAPITAL REVENUE" "FEDERAL CAPITAL REVENUE" "OTHER CAPITAL REVENUE" "TOTAL CAPITAL REVENUE" "CAPITAL EXPENDITURES" "PRINT MATERIALS" "EBOOKS" "AUDIO MATERIALS" "AUDIO DOWNLOADS" "VIDEO MATERIALS" "VIDEO DOWNLOADS" "LOCAL DATABASES" "STATE DATABASES" "TOTAL DATABASES" "PRINT SERIALS" "HOURS" "VISITS" "REFERENCES" "USERS" "TOTAL CIRCULATION" "KIDS CIRCULATION" "ELECTRONIC CIRCULATION" "LOANS TO" "LOANS FROM" "TOTAL PROGRAMS" "KIDS PROGRAMS" "YA PROGRAMS" "PROGRAM AUDIENCE" "KIDS PROGRAM AUDIENCE" "YA PROGRAM AUDIENCE" "COMPUTERS" "COMPUTER USES" "WIFI SESSIONS" "YEAR" "START DATE" "END DATE" "REPORTING STATUS" "BEA REGION" "STRUCTURE CHANGE" "NAME CHANGE" "ADDRESS CHANGE" "INTERLIBRARY RELATIONSHIP" "MAILING ADDRESS" "MAILING CITY" "MAILING ZIP" "PHONE" "COUNTY" "COUNTY POPULATION" "LEGAL BASIS" "ADMINISTRATIVE STRUCTURE" "FSCS DEFINITION" "LSABOUND" "CollectionSpace" "seatsPer" "WorkSpace" "Size" "Distance" "Weight" "SizeWeight"
" 38.189535 -120.662061 44650 1 7 0 1 1 5.85 6.85 392288 16199 0 49660 458147 259484 65841 325325 12225 0 0 12225 120597 458147 0 0 0 0 0 0 91123 0 4449 0 8937 0 0 0 0 9 9718 50847 5588 12383 108410 38678 0 353 149 248 245 0 2304 2238 0 32 33822 -1 2015 2013-07-01 2014-06-30 2 8 0 0 0 "ME" "1299 GOLD HUNTER ROAD" "SAN ANDREAS" 95249 2097546510 "CALAVERAS" 44624 "CO" "MO" "Y" "N" 1360174 3 5046 1365220 69.6660857369873 0.000206042675271651 281.293581134364
"CA" "CA0026" "M622" "COLUSA COUNTY FREE LIBRARY" 32 21660 "738 MARKET ST.
COLUSA, CA 95932
(39.214815, -122.011223)" "738 MARKET ST.
COLUSA, CA 95932
" 39.214815 -122.011223 21660 1 6 0 1 3 6.81 9.81 1016413 20149 2226 45772 1084560 402691 208173 610864 31905 5515 6571 43991 429705 1084560 0 0 0 0 0 0 98209 3615 2794 1714 5216 0 3 0 3 91 6194 35673 9183 4333 87875 9186 101 6026 5435 423 405 2 5166 4704 8 31 12496 1256 2015 2013-07-01 2014-06-30 1 8 0 0 0 "ME" "738 MARKET ST." "COLUSA" 95932 5304587671 "COLUSA" 21419 "CO" "MO" "Y" "N" 1383425 4.5 4395.6 1387820.6 65.3230094565879 0.000234351442308339 325.237759275225
"CA" "CA0028" "M624" "CONTRA COSTA COUNTY LIBRARY" 21 980870 "1750 OAK PARK BOULEVARD
PLEASANT HILL, CA 94523
(37.933673, -122.069211)" "1750 OAK PARK BOULEVARD
PLEASANT HILL, CA 94523
" 37.933673 -122.069211 980870 0 26 0 56.4 56.4 118.6 175 23622877 38597 39167 3863243 27563884 10682391 6950801 17633192 1383586 159087 288273 1830946 4252030 23716168 0 0 0 0 0 0 1262878 138427 72733 2038 84436 86 9 0 9 1576 56004 4063830 211582 481206 6890877 3277831 194250 16012 49949 8908 4992 956 254141 187541 24622 488 561078 33559 2015 2013-07-01 2014-06-30 2 8 0 0 0 "ME" "1750 OAK PARK BOULEVARD" "PLEASANT HILL" 94523 9256466423 "CONTRA COSTA" 1111339 "CO" "MO" "Y" "N" 18503059 2.25 92458.725 18595517.725 24.4473006589574 0.00167316269430921 31113.3265388356
"CA" "CA0031" "M627" "DALY CITY PUBLIC LIBRARY" 21 105076 "111 LAKE MERCED BOULEVARD
DALY CITY, CA 94015
(37.704937, -122.485897)" "111 LAKE MERCED BOULEVARD
DALY CITY, CA 94015
" 37.704937 -122.485897 105076 1 3 0 6.5 6.5 17.25 23.75 3427406 0 0 13484 3440890 1412706 523837 1936543 190354 61929 34720 287003 841701 3065247 242615 0 0 0 242615 0 188292 46524 11863 2815 13753 0 11 0 11 599 7420 433591 17022 52969 514242 251501 33893 35904 34773 690 598 57 14464 12918 996 53 107861 78325 2015 2013-07-01 2014-06-30 1 8 0 0 0 "ME" "111 LAKE MERCED BOULEVARD" "DALY CITY" 94015 6509918025 "SAN MATEO" 758581 "CI" "MO" "Y" "N" 2790976 2.25 10655.13 2801631.13 49.2489466899815 0.000412293138347561 1155.09329107992
"CA" "CA0033" "M629" "DIXON PUBLIC LIBRARY DISTRICT" 31 27905 "230 N. FIRST ST.
DIXON, CA 95620
(38.447032, -121.822486)" "230 N. FIRST ST.
DIXON, CA 95620
" 38.447032 -121.822486 27905 1 0 0 3 3.75 5.5 9.25 831000 19000 45000 62000 957000 392723 154827 547550 37500 8200 9319 55019 44000 646569 12655 0 0 0 12655 17631 49733 6574 1317 1721 2298 0 14 0 14 205 2600 1e+05 13139 6546 83967 41892 1098 19000 23000 92 55 2 2037 1746 7 14 12608 8000 2015 2013-07-01 2014-06-30 1 8 0 0 0 "ME" "230 N. FIRST ST." "DIXON" 95620 7076785447 "SOLANO" 431131 "SD" "SO" "Y" "N" 696819 3 3898.95 700717.95 13.6720274626649 0.0053497582341096 3748.6716228009
"CA" "CA0036" "M632" "EL DORADO COUNTY LIBRARY" 31 182404 "345 FAIR LANE
PLACERVILLE, CA 95667
(38.728518, -120.826897)" "345 FAIR LANE
PLACERVILLE, CA 95667
" 38.728518 -120.826897 182404 1 5 1 6.5 6.5 27.95 34.45 2724747 212591 92264 328172 3357774 1697339 706781 2404120 230582 64426 44534 339542 614113 3357775 0 0 0 0 0 0 342607 4020 17014 1721 17796 0 13 0 13 453 10128 610511 19962 88203 866366 368145 29769 731 122 1749 1111 361 34414 28433 2854 44 49362 -1 2015 2013-07-01 2014-06-30 1 8 0 0 0 "ME" "345 FAIR LANE" "PLACERVILLE" 95667 5306215540 "EL DORADO" 183087 "CO" "MO" "Y" "N" 4914290 2.25 17479.77 4931769.77 68.0201064222061 0.000216135142046361 1065.9287597789
"CA" "CA0044" "M640" "HAYWARD PUBLIC LIBRARY" 12 151037 "835 C STREET
HAYWARD, CA 94541
(37.670747, -122.083523)" "835 C STREET
HAYWARD, CA 94541
" 37.670747 -122.083523 151037 1 1 0 7.5 9 21.3 30.3 3787003 45000 465200 0 4297203 2122938 1108329 3231267 102554 45280 84073 231907 492808 3955982 10250 0 0 0 10250 10250 113502 21000 8497 9389 25381 0 2 0 2 169 4760 512867 24101 104143 1259874 324751 30583 7980 6350 2442 1845 467 62987 58979 2792 55 99508 0 2015 2013-07-01 2014-06-30 1 8 0 0 0 "ME" "835 C STREET" "HAYWARD" 94541 5108817954 "ALAMEDA" 1610921 "CI" "MO" "Y" "N" 1920612 2.25 14739.9975 1935351.9975 42.3301248795597 0.000558085707703342 1080.09228917986
"CA" "CA0054" "M650" "LAKE COUNTY LIBRARY" 32 64699 "1425 N. HIGH ST
LAKEPORT, CA 95453
(39.051561, -122.916992)" "1425 N. HIGH ST
LAKEPORT, CA 95453
" 39.051561 -122.916992 64699 1 3 0 2 2.5 9.38 11.88 777404 25780 0 61977 865161 401735 212702 614437 18637 2342 5383 26362 272430 913229 0 0 0 0 0 0 139341 3358 4139 4518 5263 0 0 0 0 70 6056 339144 8774 36884 229910 69900 9073 124642 56708 211 155 10 5012 4466 86 32 43354 -1 2015 2013-07-01 2014-06-30 1 8 0 0 0 "ME" "1425 N. HIGH ST." "LAKEPORT" 95453 7072638817 "LAKE" 64184 "CO" "MO" "Y" "N" 1936009 2.25 6149.1825 1942158.1825 75.4482718426989 0.000175671539293083 341.181917470432
"CA" "CA0055" "M651" "LARKSPUR PUBLIC LIBRARY" 21 12102 "400 MAGNOLIA AVE.
LARKSPUR, CA 94939
(37.934316, -122.535674)" "400 MAGNOLIA AVE.
LARKSPUR, CA 94939
" 37.934316 -122.535674 12102 1 0 0 3 3 5.3 8.3 794786 0 0 15500 810286 462784 215509 678293 49285 498 5979 55762 76231 810286 0 0 0 0 0 0 44518 50309 1927 2776 1606 147 32 0 32 65 2689 102128 15995 6521 138067 53141 5639 21614 23103 184 134 1 6664 4235 10 2 4963 -1 2015 2013-07-01 2014-06-30 2 8 0 0 0 "ME" "400 MAGNOLIA AVE" "LARKSPUR" 94939 4159275005 "MARIN" 260750 "CI" "SO" "Y" "N" 625598 4.5 2878.77 628476.77 39.9727669823351 0.000625851901697801 393.333381677391
"CA" "CA0057" "M653" "LINCOLN PUBLIC LIBRARY" 41 45206 "485 TWELVE BRIDGES DRIVE
LINCOLN, CA 95648
(38.850984, -121.294269)" "485 TWELVE BRIDGES DRIVE
LINCOLN, CA 95648
" 38.850984 -121.294269 45206 1 0 0 0.98 0.98 3.13 4.11 383666 0 0 30727 414393 148301 65989 214290 54671 5000 16954 76625 143756 434671 0 0 0 747822 747822 0 131616 2445 9972 116 12977 0 15 0 15 62 1173 170409 4486 40269 287449 101256 1632 0 7 267 242 0 11928 10739 0 38 9998 3036 2015 2013-07-01 2014-06-30 1 8 0 0 0 "ME" "485 TWELVE BRIDGES DRIVE" "LINCOLN" 95648 9164342410 "PLACER" 371694 "CI" "SO" "Y" "N" 2011861 3 4685.04 2016546.04 53.1290725253908 0.000354270941107889 714.403663378187
"CA" "CA0058" "M654" "LIVERMORE PUBLIC LIBRARY" 23 84852 "1188 S. LIVERMORE AVE.
LIVERMORE, CA 94550
(37.673972, -121.755821)" "1188 S. LIVERMORE AVE.
LIVERMORE, CA 94550
" 37.673972 -121.755821 84852 1 2 0 11.5 11.5 26.25 37.75 3941384 24451 0 36870 4002705 2042334 1396311 3438645 174905 115966 30710 321581 534294 4294520 0 0 0 0 0 0 214094 19008 4623 809 9178 0 30 0 30 290 4946 394078 38837 58584 849145 412617 27080 7164 10012 633 494 21 25170 20221 362 80 136493 153360 2015 2013-07-01 2014-06-30 1 8 0 0 0 "ME" "1188 S. LIVERMORE AVE." "LIVERMORE" 94550 9253735500 "ALAMEDA" 1610921 "CI" "MO" "Y" "N" 2970005 2.25 11390.01 2981395.01 42.5753868502562 0.000551674353178891 1644.75916371252
"CA" "CA0059" "M655" "LODI PUBLIC LIBRARY" 13 63651 "201 W. LOCUST STREET
LODI, CA 95240
(38.136701, -121.274958)" "201 W. LOCUST STREET
LODI, CA 95240
" 38.136701 -121.274958 63651 1 0 0 2 3 7 10 1374480 12294 0 64542 1451316 740607 332974 1073581 69247 11744 4837 85828 108441 1267850 0 0 0 0 0 350000 130746 0 3057 0 3100 0 8 1 9 200 3224 252617 17012 50598 205655 101038 -1 451 591 386 323 10 13083 11313 200 21 43365 -1 2015 2013-07-01 2014-06-30 1 8 0 0 0 "ME" "201 W. LOCUST STREET" "LODI" 95240 2093335534 "SAN JOAQUIN" 715597 "CI" "SO" "Y" "N" 1783284 2.25 5796.4425 1789080.4425 37.3360669083683 0.000717369433279883 1283.43162312835
"CA" "CA0065" "M661" "MARIN COUNTY FREE LIBRARY" 21 140048 "3501 CIVIC CENTER DR, RM 414
SAN RAFAEL, CA 94903
(38.000724, -122.535316)" "3501 CIVIC CENTER DR, RM 414
SAN RAFAEL, CA 94903
" 38.000724 -122.535316 140048 0 10 1 28.03 28.03 49.11 77.14 14101604 0 0 544984 14646588 6155307 3091487 9246794 774754 90058 335703 1200515 3419358 13866667 874482 0 0 0 874482 1062878 369669 50309 25498 3001 44769 147 36 1 37 960 21613 1022358 93744 117351 2065763 749376 240527 89737 111447 1964 1166 187 49054 34340 2267 140 152134 204400 2015 2013-07-01 2014-06-30 1 8 0 0 0 "ME" "3501 CIVIC CENTER DR, RM 414" "SAN RAFAEL" 94903 4154733220 "MARIN" 260750 "CO" "MO" "Y" "N" 5737948 2.25 21024.24 5758972.24 37.4436730801912 0.000713252184493607 4107.59953061804
"CA" "CA0066" "M662" "MENDOCINO COUNTY LIBRARY" 33 89029 "105 N. MAIN ST.
UKIAH, CA 95482
(39.150478, -123.20676)" "105 N. MAIN ST.
UKIAH, CA 95482
" 39.150478 -123.20676 89029 1 4 1 8 8 22 30 2893476 0 0 64774 2958250 992129 609674 1601803 217720 22503 10060 250283 523924 2376010 0 0 0 0 0 142090 153461 0 6771 0 12897 0 6 0 6 231 11001 431680 43200 34241 544669 114349 0 117236 124321 951 556 52 10497 7055 200 38 60334 33229 2015 2013-07-01 2014-06-30 1 8 0 0 0 "ME" "105 N. MAIN ST." "UKIAH" 95482 7074672590 "MENDOCINO" 87869 "CO" "MO" "Y" "N" 2255390 2.25 10509.4575 2265899.4575 91.4742392423288 0.000119509488435152 270.796485011314
"CA" "CA0067" "M663" "MENLO PARK PUBLIC LIBRARY" 21 32896 "800 ALMA ST.
MENLO PARK, CA 94025
(37.452356, -122.177964)" "800 ALMA ST.
MENLO PARK, CA 94025
