"STATE" "FSCS.ID" "LIBRARY.ID" "LIBRARY.NAME" "LOCALE" "SERVICE.AREA.POPULATION" "LOCATION" "ADDRESS" "LATITUDE" "LONGITUDE" "UNDUPLICATED.POPULATION" "CENTRAL.LIBRARIES" "BRANCH.LIBRARIES" "BOOKMOBILES" "MLS.LIBRARIAN.STAFF" "LIBRARIAN.STAFF" "OTHER.STAFF" "TOTAL.STAFF" "LOCAL.REVENUE" "STATE.REVENUE" "FEDERAL.REVENUE" "OTHER.REVENUE" "TOTAL.REVENUE" "SALARIES" "BENEFITS" "TOTAL.STAFF.EXPENDITURES" "PRINT.EXPENDITURES" "ELECTRONIC.EXPENDITURES" "OTHER.COLLECTION.EXPENDITURES" "TOTAL.COLLECTION.EXPENDITURES" "OTHER.EXPENDITURES" "TOTAL.EXPENDITURES" "LOCAL.CAPITAL.REVENUE" "STATE.CAPITAL.REVENUE" "FEDERAL.CAPITAL.REVENUE" "OTHER.CAPITAL.REVENUE" "TOTAL.CAPITAL.REVENUE" "CAPITAL.EXPENDITURES" "PRINT.MATERIALS" "EBOOKS" "AUDIO.MATERIALS" "AUDIO.DOWNLOADS" "VIDEO.MATERIALS" "VIDEO.DOWNLOADS" "LOCAL.DATABASES" "STATE.DATABASES" "TOTAL.DATABASES" "PRINT.SERIALS" "HOURS" "VISITS" "REFERENCES" "USERS" "TOTAL.CIRCULATION" "KIDS.CIRCULATION" "ELECTRONIC.CIRCULATION" "LOANS.TO" "LOANS.FROM" "TOTAL.PROGRAMS" "KIDS.PROGRAMS" "YA.PROGRAMS" "PROGRAM.AUDIENCE" "KIDS.PROGRAM.AUDIENCE" "YA.PROGRAM.AUDIENCE" "COMPUTERS" "COMPUTER.USES" "WIFI.SESSIONS" "YEAR" "START.DATE" "END.DATE" "REPORTING.STATUS" "BEA.REGION" "STRUCTURE.CHANGE" "NAME.CHANGE" "ADDRESS.CHANGE" "INTERLIBRARY.RELATIONSHIP" "MAILING.ADDRESS" "MAILING.CITY" "MAILING.ZIP" "PHONE" "COUNTY" "COUNTY.POPULATION" "LEGAL.BASIS" "ADMINISTRATIVE.STRUCTURE" "FSCS.DEFINITION" "LSABOUND" "CollectionSpace" "seatsPer" "WorkSpace" "Size" "Distance" "Weight" "SizeWeight" "DriveDistance" "DriveWeight" "DriveSizeWeight"
(48.356247, -99.998922)" "201 W THIRD STREET
RUGBY, ND 58368
" 48.356247 -99.998922 4451 1 0 0 0 1 1 2 146158 15333 0 10222 171713 NA NA NA 12595 2796 0 15391 NA 131796 0 0 0 0 0 0 30709 12805 660 3955 843 435 33 25 58 90 2340 15121 1700 4123 29685 15652 87 155 288 114 53 0 1737 1209 0 6 3043 -1 2015 "2014-01-01" "2014-12-31" 2 4 0 0 0 "NO" "201 W THIRD STREET" "RUGBY" 58368 7017766223 "PIERCE" 4404 "CC" "SO" "Y" "N" 420196 10 1635.3 421831.3 61.682978683635 0.000262826604617717 110.868488300478 78.1171163334038 0.000163873071500169 69.1267907859092
"ND" "ND0046" "ND046" "KILLDEER PUBLIC LIBRARY" 43 751 "101 HIGH STREET NW
KILLDEER, ND 58640
(47.372029, -102.754347)" "101 HIGH STREET NW
KILLDEER, ND 58640
" 47.372029 -102.754347 751 1 0 0 0 1 0.2 1.2 7044 765 0 40 7849 NA NA NA 260 83 0 343 NA 6658 0 0 0 0 0 0 23130 0 288 0 320 0 39 25 64 55 1440 15900 275 674 17057 12403 0 0 40 9 3 3 1414 1109 95 17 2500 -1 2015 "2014-01-01" "2014-12-31" 1 4 0 0 0 "NO" "PO BOX 579" "KILLDEER" 58640 7017645870 "DUNN" 4399 "MJ" "SO" "Y" "N" 310074 22.5 686.925 310760.925 97.5865977086615 0.00010500733733551 32.6321772821702 151.873438800999 4.33547161145737e-05 13.4729516828773
"ND" "ND0052" "ND052" "STANLEY PUBLIC LIBRARY" 43 1458 "116 MAIN ST
STANLEY, ND 58784
(48.317819, -102.390596)" "116 MAIN ST
STANLEY, ND 58784
" 48.317819 -102.390596 1458 1 0 0 0 1 0 1 87791 747 0 695 89233 NA NA NA 5519 856 1604 7979 NA 63343 0 0 0 0 0 0 12406 12805 150 3955 1613 435 33 25 58 3 1326 6535 26 824 6438 2342 184 139 8 14 12 1 306 253 41 9 1602 196 2015 "2014-01-01" "2014-12-31" 2 4 0 0 0 "NO" "PO BOX 249" "STANLEY" 58784 7016282223 "MOUNTRAIL" 9782 "CI" "SO" "Y" "N" 184641 14.25 773.295 185414.295 48.8141065614509 0.000419671338694862 77.813065395814 65.3261585494675 0.000234328848704585 43.4479182807223
