"STATE" "FSCS.ID" "LIBRARY.ID" "LIBRARY.NAME" "LOCALE" "SERVICE.AREA.POPULATION" "LOCATION" "ADDRESS" "LATITUDE" "LONGITUDE" "UNDUPLICATED.POPULATION" "CENTRAL.LIBRARIES" "BRANCH.LIBRARIES" "BOOKMOBILES" "MLS.LIBRARIAN.STAFF" "LIBRARIAN.STAFF" "OTHER.STAFF" "TOTAL.STAFF" "LOCAL.REVENUE" "STATE.REVENUE" "FEDERAL.REVENUE" "OTHER.REVENUE" "TOTAL.REVENUE" "SALARIES" "BENEFITS" "TOTAL.STAFF.EXPENDITURES" "PRINT.EXPENDITURES" "ELECTRONIC.EXPENDITURES" "OTHER.COLLECTION.EXPENDITURES" "TOTAL.COLLECTION.EXPENDITURES" "OTHER.EXPENDITURES" "TOTAL.EXPENDITURES" "LOCAL.CAPITAL.REVENUE" "STATE.CAPITAL.REVENUE" "FEDERAL.CAPITAL.REVENUE" "OTHER.CAPITAL.REVENUE" "TOTAL.CAPITAL.REVENUE" "CAPITAL.EXPENDITURES" "PRINT.MATERIALS" "EBOOKS" "AUDIO.MATERIALS" "AUDIO.DOWNLOADS" "VIDEO.MATERIALS" "VIDEO.DOWNLOADS" "LOCAL.DATABASES" "STATE.DATABASES" "TOTAL.DATABASES" "PRINT.SERIALS" "HOURS" "VISITS" "REFERENCES" "USERS" "TOTAL.CIRCULATION" "KIDS.CIRCULATION" "ELECTRONIC.CIRCULATION" "LOANS.TO" "LOANS.FROM" "TOTAL.PROGRAMS" "KIDS.PROGRAMS" "YA.PROGRAMS" "PROGRAM.AUDIENCE" "KIDS.PROGRAM.AUDIENCE" "YA.PROGRAM.AUDIENCE" "COMPUTERS" "COMPUTER.USES" "WIFI.SESSIONS" "YEAR" "START.DATE" "END.DATE" "REPORTING.STATUS" "BEA.REGION" "STRUCTURE.CHANGE" "NAME.CHANGE" "ADDRESS.CHANGE" "INTERLIBRARY.RELATIONSHIP" "MAILING.ADDRESS" "MAILING.CITY" "MAILING.ZIP" "PHONE" "COUNTY" "COUNTY.POPULATION" "LEGAL.BASIS" "ADMINISTRATIVE.STRUCTURE" "FSCS.DEFINITION" "LSABOUND" "CollectionSpace" "seatsPer" "WorkSpace" "Size" "Distance" "Weight" "SizeWeight" "DriveDistance" "DriveWeight" "DriveSizeWeight"
" 37.030674 -97.606971 1035 1 0 0 0 0.35 0.38 0.73 19423 7045 2560 5911 34939 NA NA NA 4007 0 25 4032 NA 36278 0 0 0 3866 3866 0 9217 0 85 0 210 0 0 52 52 18 1200 6853 499 1024 7324 1701 0 39 64 33 20 3 623 325 48 4 1975 -1 2015 "2014-01-01" "2014-12-31" 1 4 0 0 0 "ME" "120 S. MAIN ST." "CALDWELL" 67022 6208456879 "SUMNER" 23528 "CI" "SO" "Y" "N" 124070 14.25 551.9625 124621.9625 50.8176092762606 0.000387232268629849 48.2576452599789 57.2781388643792 0.000304805082182591 37.9854075215683
"KS" "KS0190" "KS0167" "KIOWA PUBLIC LIBRARY" 43 1040 "123 N 7TH
KIOWA, KS 67070
(37.017246, -98.485302)" "123 N 7TH
KIOWA, KS 67070
" 37.017246 -98.485302 1040 1 0 0 0 0.5 0.05 0.55 17822 699 332 0 18853 NA NA NA 4120 0 200 4320 NA 14784 5429 0 0 0 5429 0 19492 0 455 0 695 0 0 52 52 12 780 12550 190 750 11700 3400 0 400 206 2 2 0 180 180 0 3 275 -1 2015 "2014-01-01" "2014-12-31" 1 4 0 0 0 "ME" "123 N 7TH" "KIOWA" 67070 6208254630 "BARBER" 4897 "CI" "SO" "Y" "N" 268637 14.25 527.1 269164.1 56.4930926184876 0.000313335281987912 84.3386091745226 80.8468067655064 0.000152993950141961 41.1804788954058
"KS" "KS0191" "KS0059" "CONWAY SPRINGS CITY LIBRARY" 42 1243 "210 W. SPRINGS AVE
CONWAY SPRINGS, KS 67031
(37.39036, -97.636452)" "210 W. SPRINGS AVE
CONWAY SPRINGS, KS 67031
" 37.39036 -97.636452 1243 1 0 0 0 0.35 0 0.35 15167 6536 0 1098 22801 NA NA NA 2504 0 0 2504 NA 14661 0 0 0 0 0 0 11590 0 69 0 0 0 0 52 52 1 728 1938 64 1119 2249 910 88 0 26 8 8 0 343 343 0 1 50 50 2015 "2014-01-01" "2014-12-31" 2 4 0 0 0 "ME" "P O BOX 183" "CONWAY SPRINGS" 67031 6204562859 "SUMNER" 23528 "CI" "SO" "Y" "N" 151625 14.25 583.8825 152208.8825 74.3373445086647 0.000180961385964247 27.5439303332692 88.1671989759777 0.000128642926881468 19.5805961421575
