"Library Name" "Service Area Population" "Address" "Latitude" "Longitude" "Central Libraries" "Branch Libraries" "Total Staff" "Print Materials" "Audio Materials" "Video Materials" "Print Serials" "Computers" "Collection Space" "Seats Per" "Work Space" "Size" "Distance" "Weight" "SizeWeight" "Drive Distance" "Drive Weight" "Drive SizeWeight"
" 40.801474 -105.590322 1 0 2.67 9691 985 1929 27 18 165026 14.25 1149.0525 166175.0525 44.7955815879602 0.000498344467336057 82.8124180226539 68.4311581145066 0.000213546383109256 35.4860814243657
"NEDERLAND COMMUNITY LIBRARY DISTRICT" 3432 "200 HIGHWAY 72 NORTH
NEDERLAND, CO 80466
" 39.962554 -105.51226 1 0 4.5 13358 695 575 61 10 191407 10 1704.6 193111.6 88.6059966735596 0.000127371941850647 24.5969994858853 117.999304062535 7.1819290121704e-05 13.8691380262665
"BAYARD PUBLIC LIBRARY" 1171 "509 AVENUE A
BAYARD, NE 69334
" 41.755623 -103.325621 1 0 2 15480 393 22 31 6 207308 14.25 800.6025 208108.6025 90.2162908238073 0.000122865531908458 25.5693741408884 117.470515863646 7.24673279564766e-05 15.0810743479315
"BRIDGEPORT PUBLIC LIBRARY" 1522 "722 MAIN STREET
BRIDGEPORT, NE 69336
" 41.667927 -103.099574 1 0 2 21324 444 1414 28 15 302405 14.25 950.655 303355.655 98.3867543054716 0.000103306282202578 31.338544903178 122.993898119726 6.61047805505328e-05 20.0532590025382
"GERING PUBLIC LIBRARY" 8480 "1055 P STREET
GERING, NE 69341
" 41.824714 -103.661136 1 0 5.6 29996 1038 1120 77 18 419813 7 2620.8 422433.8 78.0464341940277 0.000164170026623878 69.3509681928261 96.8254066884561 0.000106664853302893 45.0588393071837
"KIMBALL PUBLIC LIBRARY" 2425 "208 SOUTH WALNUT
KIMBALL, NE 69145
" 41.237038 -103.661573 1 0 2.6 26049 1099 564 33 14 361315 14.25 1426.6875 362741.6875 62.8630653627484 0.000253051485434984 91.7923228510679 68.7250674189419 0.000211723785773986 76.8010433355443
"LYMAN PUBLIC LIBRARY" 336 "313 JEFFERS STREET
LYMAN, NE 69352
" 41.916486 -104.038957 1 0 0.45 8871 32 312 12 2 120041 22.5 294.3 120335.3 68.3442636787545 0.000214089743670072 25.7625535314612 86.5510084879516 0.000133492152145543 16.0638181760795
"MINATARE PUBLIC LIBRARY" 808 "309 MAIN STREET
MINATARE, NE 69356
" 41.808693 -103.503392 1 0 0.45 2813 29 389 5 3 42203 22.5 612.9 42815.9 84.10923691124 0.000141355468509973 6.05226160417614 107.600009941964 8.63724775090483e-05 3.69811535977966
"MITCHELL PUBLIC LIBRARY" 1685 "1449 CENTER AVENUE
MITCHELL, NE 69357
" 41.941947 -103.808763 1 0 1.42 12622 29 16 5 3 164871 14.25 933.3375 165804.3375 77.5899551406751 0.000166107406871563 27.5413285501825 97.4654206072054 0.000105268607327646 17.4539916975081
"MORRILL PUBLIC LIBRARY" 925 "119 EAST WEBSTER STREET
MORRILL, NE 69358
" 41.96338 -103.925969 1 0 1.1 10773 131 331 18 6 146559 22.5 789.375 147348.375 74.5628361977606 0.000179868520152742 26.5033341581613 92.9467980662881 0.000115752700904969 17.0559723802082
"POTTER PUBLIC LIBRARY" 337 "333 CHESTNUT
POTTER, NE 69156
" 41.216668 -103.315581 1 0 0.25 6033 25 15 6 1 79072 22.5 264.975 79336.975 80.7136990248792 0.000153498981414868 12.1781448510368 86.1781848459617 0.00013464967677192 10.6826980398119
"LIED SCOTTSBLUFF PUBLIC LIBRARY" 15023 "1809 3RD AVENUE
SCOTTSBLUFF, NE 69361
" 41.8644 -103.65865 1 0 10.35 62138 1839 2842 96 49 872100 4.5 3580.605 875680.605 79.8167200367137 0.000156968405211852 137.4541880418 102.489219183019 9.52014648991636e-05 83.3660763797859
"SIDNEY PUBLIC LIBRARY" 10091 "1112 12TH AVENUE
SIDNEY, NE 69162
